"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"1230","vo07",532,1,4,"Mahableshwarkar2013 (304, NCT00672620)",2008,"2013","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",153,33,7,149,-10.5,9.24,48,149,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","42.6","0.60799999999999998","LOCF","HAMD24",29.5,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"1231","vo08",532,2,4,"Mahableshwarkar2013 (304, NCT00672620)",2008,"2013","vortioxetine",2.5,2.5,"Fixed",2.5,"Extremely low","Yes","Investigational",153,54,7,146,-12.04,8.99,60,146,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","42.6","0.64","LOCF","HAMD24",29.8,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"1232","vo09",532,3,4,"Mahableshwarkar2013 (304, NCT00672620)",2008,"2013","vortioxetine",5,5,"Fixed",5,"Licensed","Yes","Investigational",153,31,12,153,-11.08,9.12,58,153,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","43.1","0.69299999999999995","LOCF","HAMD24",29.8,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"1233","vo10",532,4,4,"Mahableshwarkar2013 (304, NCT00672620)",2008,"2013","duloxetine",60,60,"Fixed",60,"Licensed","No","Comparator",152,42,17,149,-13.47,9.15,76,149,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","42.7","0.59899999999999998","LOCF","HAMD24",28.7,"Yes",4,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","22","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"1234","vo11",533,1,5,"Baldwin2012 (11984A, NCT00635219)",2009,"2012","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",152,29,12,145,-13.3,9.87,68,145,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Low risk","43.3","0.69599999999999995","LOCF","HAMD24",29.8,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Low risk"
"1235","vo12",533,2,5,"Baldwin2012 (11984A, NCT00635219)",2009,"2012","vortioxetine",2.5,2.5,"Fixed",2.5,"Extremely low","Yes","Investigational",155,25,10,155,-14.4,9.84,84,155,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk","46","0.71","LOCF","HAMD24",29.6,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"1236","vo13",533,3,5,"Baldwin2012 (11984A, NCT00635219)",2009,"2012","vortioxetine",5,5,"Fixed",5,"Licensed","Yes","Investigational",159,37,18,155,-15,9.96,87,155,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk","44.7","0.66200000000000003","LOCF","HAMD24",31.3,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"1237","vo14",533,4,5,"Baldwin2012 (11984A, NCT00635219)",2009,"2012","vortioxetine",10,10,"Fixed",10,"Licensed","Yes","Investigational",153,36,15,151,-14.9,9.83,87,151,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk","45.2","0.68100000000000005","LOCF","HAMD24",30.4,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Moderate risk"
"1238","vo15",533,5,5,"Baldwin2012 (11984A, NCT00635219)",2009,"2012","duloxetine",60,60,"Fixed",60,"Licensed","No","Comparator",157,44,19,149,-15.7,9.89,85,149,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Low risk","45.3","0.67700000000000005","LOCF","HAMD24",29.9,"Yes",5,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias",NA,"Low risk"
"1239","vo16",534,1,4,"Henigsberg2012 (305, NCT00735709)",2009,"2012","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",140,13,2,128,-11.3,8.35,32,139,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","46.4","0.61399999999999999","MMRM","HAMD24",32.7,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"1240","vo17",534,2,4,"Henigsberg2012 (305, NCT00735709)",2009,"2012","vortioxetine",1,1,"Fixed",1,"Extremely low","Yes","Investigational",140,13,3,124,-14.82,8.3,66,139,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","45.4","0.66","MMRM","HAMD24",32.5,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"1241","vo18",534,3,4,"Henigsberg2012 (305, NCT00735709)",2009,"2012","vortioxetine",5,5,"Fixed",5,"Licensed","Yes","Investigational",140,11,1,129,-15.42,8.44,63,139,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","47.3","0.621","MMRM","HAMD24",32.1,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"1242","vo19",534,4,4,"Henigsberg2012 (305, NCT00735709)",2009,"2012","vortioxetine",10,10,"Fixed",10,"Licensed","Yes","Investigational",140,18,5,122,-16.23,8.34,69,139,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","46.4","0.60699999999999998","MMRM","HAMD24",33.1,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Other/Unclear/Not stated","MADRS","26","Unclear",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"1243","vo20",535,1,3,"Katona2012 (12541A, NCT00811252)",2010,"2012","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",145,17,6,129,-10.8,7.95,51,145,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","70.3","0.621","MMRM","HAMD24",29.4,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"1244","vo21",535,2,3,"Katona2012 (12541A, NCT00811252)",2010,"2012","vortioxetine",5,5,"Fixed",5,"Licensed","Yes","Investigational",156,20,10,137,-14.7,8.19,82,155,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk","70.5","0.68600000000000005","MMRM","HAMD24",29.2,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Moderate risk"
"1245","vo22",535,3,3,"Katona2012 (12541A, NCT00811252)",2010,"2012","duloxetine",60,60,"Fixed",60,"Licensed","No","Comparator",151,23,15,128,-17,7.92,93,148,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk","70.900000000000006","0.66200000000000003","MMRM","HAMD24",28.5,"Yes",3,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Unclear","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","low","Low risk"
"1246","vo23",536,1,4,"Boulenger2014 (13267A, NCT01140906)",2011,"2014","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",158,25,7,158,-11.7,9.55,51,158,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","48.1","0.69599999999999995","MMRM","MADRS",31.5,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"1247","vo24",536,2,4,"Boulenger2014 (13267A, NCT01140906)",2011,"2014","vortioxetine",15,15,"Fixed",15,"Licensed","Yes","Investigational",152,35,10,149,-17.23,9.64,85,149,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","47","0.64200000000000002","MMRM","MADRS",31.8,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"1248","vo25",536,3,4,"Boulenger2014 (13267A, NCT01140906)",2011,"2014","vortioxetine",20,20,"Fixed",20,"Licensed","Yes","Investigational",151,26,17,151,-18.79,9.58,93,151,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","46.2","0.60299999999999998","MMRM","MADRS",31.2,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"1249","vo26",536,4,4,"Boulenger2014 (13267A, NCT01140906)",2011,"2014","duloxetine",60,60,"Fixed",60,"Licensed","No","Comparator",147,16,7,146,-21.15,9.3,108,146,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","45.6","0.69399999999999995","MMRM","MADRS",31.2,"Yes",4,"Cross-Continental","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Both","MADRS","26","Unclear",8,"Yes","Low risk of bias","Low risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
